"MSOA","Tenure","People","Rooms","Count"
"E02000866",2,2,1,1
"E02000866",2,2,2,1
"E02000866",2,2,3,11
"E02000866",2,2,4,32
"E02000866",2,2,5,72
"E02000866",2,2,6,70
"E02000866",2,3,1,0
"E02000866",2,3,2,0
"E02000866",2,3,3,1
"E02000866",2,3,4,11
"E02000866",2,3,5,18
"E02000866",2,3,6,36
"E02000866",2,4,1,0
"E02000866",2,4,2,0
"E02000866",2,4,3,1
"E02000866",2,4,4,3
"E02000866",2,4,5,14
"E02000866",2,4,6,49
"E02000866",3,1,1,1
"E02000866",3,1,2,20
"E02000866",3,1,3,50
"E02000866",3,1,4,49
"E02000866",3,1,5,37
"E02000866",3,1,6,25
"E02000866",3,2,1,1
"E02000866",3,2,2,18
"E02000866",3,2,3,39
"E02000866",3,2,4,84
"E02000866",3,2,5,75
"E02000866",3,2,6,92
"E02000866",3,3,1,0
"E02000866",3,3,2,2
"E02000866",3,3,3,6
"E02000866",3,3,4,20
"E02000866",3,3,5,54
"E02000866",3,3,6,58
"E02000866",3,4,1,0
"E02000866",3,4,2,0
"E02000866",3,4,3,2
"E02000866",3,4,4,21
"E02000866",3,4,5,66
"E02000866",3,4,6,100
"E02000866",5,1,1,24
"E02000866",5,1,2,57
"E02000866",5,1,3,264
"E02000866",5,1,4,115
"E02000866",5,1,5,80
"E02000866",5,1,6,25
"E02000866",5,2,1,2
"E02000866",5,2,2,20
"E02000866",5,2,3,79
"E02000866",5,2,4,98
"E02000866",5,2,5,89
"E02000866",5,2,6,13
"E02000866",5,3,1,2
"E02000866",5,3,2,6
"E02000866",5,3,3,22
"E02000866",5,3,4,61
"E02000866",5,3,5,62
"E02000866",5,3,6,21
"E02000866",5,4,1,1
"E02000866",5,4,2,7
"E02000866",5,4,3,25
"E02000866",5,4,4,105
"E02000866",5,4,5,138
"E02000866",5,4,6,64
"E02000866",6,1,1,12
"E02000866",6,1,2,49
"E02000866",6,1,3,79
"E02000866",6,1,4,39
"E02000866",6,1,5,28
"E02000866",6,1,6,18
"E02000866",6,2,1,3
"E02000866",6,2,2,76
"E02000866",6,2,3,111
"E02000866",6,2,4,118
"E02000866",6,2,5,37
"E02000866",6,2,6,26
"E02000866",6,3,1,2
"E02000866",6,3,2,10
"E02000866",6,3,3,27
"E02000866",6,3,4,35
"E02000866",6,3,5,59
"E02000866",6,3,6,37
"E02000866",6,4,1,0
"E02000866",6,4,2,5
"E02000866",6,4,3,13
"E02000866",6,4,4,35
"E02000866",6,4,5,101
"E02000866",6,4,6,169
"E02000867",2,1,1,1
"E02000867",2,1,2,23
"E02000867",2,1,3,42
"E02000867",2,1,4,37
"E02000867",2,1,5,14
"E02000867",2,1,6,17
"E02000867",2,2,1,2
"E02000867",2,2,2,5
"E02000867",2,2,3,32
"E02000867",2,2,4,42
"E02000867",2,2,5,19
"E02000867",2,2,6,23
"E02000867",2,3,1,0
"E02000867",2,3,2,0
"E02000867",2,3,3,2
"E02000867",2,3,4,7
"E02000867",2,3,5,8
"E02000867",2,3,6,10
"E02000867",2,4,1,0
"E02000867",2,4,2,0
"E02000867",2,4,3,2
"E02000867",2,4,4,0
"E02000867",2,4,5,9
"E02000867",2,4,6,7
"E02000867",3,1,1,22
"E02000867",3,1,2,111
"E02000867",3,1,3,157
"E02000867",3,1,4,89
"E02000867",3,1,5,27
"E02000867",3,1,6,19
"E02000867",3,2,1,7
"E02000867",3,2,2,40
"E02000867",3,2,3,149
"E02000867",3,2,4,105
"E02000867",3,2,5,34
"E02000867",3,2,6,28
"E02000867",3,3,1,1
"E02000867",3,3,2,2
"E02000867",3,3,3,34
"E02000867",3,3,4,27
"E02000867",3,3,5,22
"E02000867",3,3,6,17
"E02000867",3,4,1,0
"E02000867",3,4,2,1
"E02000867",3,4,3,11
"E02000867",3,4,4,28
"E02000867",3,4,5,26
"E02000867",3,4,6,34
"E02000867",5,1,1,15
"E02000867",5,1,2,79
"E02000867",5,1,3,239
"E02000867",5,1,4,129
"E02000867",5,1,5,34
"E02000867",5,1,6,14
"E02000867",5,2,1,8
"E02000867",5,2,2,35
"E02000867",5,2,3,101
"E02000867",5,2,4,150
"E02000867",5,2,5,42
"E02000867",5,2,6,15
"E02000867",5,3,1,0
"E02000867",5,3,2,9
