"MSOA";"Sex";"Age";"Persons"
"E02000865";"F";20;50
"E02000865";"M";21;46
"E02000865";"F";21;57
"E02000865";"M";22;57
"E02000865";"F";22;86
"E02000865";"M";23;85
"E02000865";"F";23;103
"E02000865";"M";24;96
"E02000865";"F";24;123
"E02000865";"M";25;98
"E02000865";"F";25;116
"E02000865";"M";26;94
"E02000865";"F";26;119
"E02000865";"M";27;89
"E02000865";"F";27;110
"E02000865";"M";28;95
"E02000865";"F";28;122
"E02000865";"M";29;70
"E02000865";"F";29;100
"E02000865";"M";30;96
"E02000865";"F";30;109
"E02000865";"M";31;70
"E02000865";"F";31;90
"E02000865";"M";32;86
"E02000865";"F";32;72
"E02000865";"M";33;78
"E02000865";"F";33;81
"E02000865";"M";34;69
"E02000865";"F";34;63
"E02000865";"M";35;62
"E02000865";"F";35;64
"E02000865";"M";36;62
"E02000865";"F";36;66
"E02000865";"M";37;68
"E02000865";"F";37;50
"E02000865";"M";38;62
"E02000865";"F";38;45
"E02000865";"M";39;62
"E02000865";"F";39;57
"E02000865";"M";40;63
"E02000865";"F";40;45
"E02000865";"M";41;60
"E02000865";"F";41;28
"E02000865";"M";42;39
"E02000865";"F";42;40
"E02000865";"M";43;49
"E02000865";"F";43;33
"E02000865";"M";44;40
"E02000865";"F";44;29
"E02000865";"M";45;30
"E02000865";"F";45;34
"E02000865";"M";46;46
"E02000865";"F";46;29
"E02000865";"M";47;41
"E02000865";"F";47;38
"E02000865";"M";48;52
"E02000865";"F";48;38
"E02000865";"M";49;36
"E02000865";"F";49;34
"E02000865";"M";50;27
"E02000865";"F";50;27
"E02000865";"M";51;40
"E02000865";"F";51;26
"E02000865";"M";52;43
"E02000865";"F";52;40
"E02000865";"M";53;29
"E02000865";"F";53;27
"E02000865";"M";54;26
"E02000865";"F";54;28
"E02000865";"M";55;32
"E02000865";"F";55;26
"E02000865";"M";56;21
"E02000865";"F";56;23
"E02000865";"M";57;17
"E02000865";"F";57;30
"E02000865";"M";58;25
"E02000865";"F";58;29
"E02000865";"M";59;26
"E02000865";"F";59;16
"E02000865";"M";60;24
"E02000865";"F";60;24
"E02000865";"M";61;10
"E02000865";"F";61;23
"E02000865";"M";62;16
"E02000865";"F";62;23
"E02000865";"M";63;22
"E02000865";"F";63;13
"E02000865";"M";64;13
"E02000865";"F";64;25
"E02000865";"M";65;19
"E02000865";"F";65;19
"E02000865";"M";66;12
"E02000865";"F";66;18
"E02000865";"M";67;10
"E02000865";"F";67;14
"E02000865";"M";68;15
"E02000865";"F";68;14
"E02000865";"M";69;12
"E02000865";"F";69;15
"E02000865";"M";70;13
"E02000865";"F";70;14
"E02000865";"M";71;12
"E02000865";"F";71;11
"E02000865";"M";72;14
"E02000865";"F";72;9
"E02000865";"M";73;17
"E02000865";"F";73;8
"E02000865";"M";74;14
"E02000865";"F";74;8
"E02000865";"M";75;13
"E02000865";"F";75;9
"E02000865";"M";76;6
"E02000865";"F";76;7
"E02000865";"M";77;7
"E02000865";"F";77;15
"E02000865";"M";78;6
"E02000865";"F";78;12
"E02000865";"M";79;11
"E02000865";"F";79;15
"E02000865";"M";80;10
"E02000865";"F";80;11
"E02000865";"M";81;14
"E02000865";"F";81;7
"E02000865";"M";82;3
"E02000865";"F";82;7
"E02000865";"M";83;5
"E02000865";"F";83;14
"E02000865";"M";84;6
"E02000865";"F";84;9
"E02000865";"M";85;27
"E02000865";"F";85;48
"E02000866";"M";0;76
"E02000866";"F";0;75
"E02000866";"M";1;82
"E02000866";"F";1;54
"E02000866";"M";2;72
"E02000866";"F";2;60
"E02000866";"M";3;57
"E02000866";"F";3;64
"E02000866";"M";4;66
"E02000866";"F";4;50
"E02000866";"M";5;60
"E02000866";"F";5;60
"E02000866";"M";6;47
"E02000866";"F";6;47
"E02000866";"M";7;54
"E02000866";"F";7;55
"E02000866";"M";8;60
"E02000866";"F";8;50
"E02000866";"M";9;41
"E02000866";"F";9;53
"E02000866";"M";10;55
"E02000866";"F";10;33
"E02000866";"M";11;58
"E02000866";"F";11;47
"E02000866";"M";12;60
"E02000866";"F";12;43
"E02000866";"M";13;38
"E02000866";"F";13;33
"E02000866";"M";14;41
"E02000866";"F";14;44
"E02000866";"M";15;40
"E02000866";"F";15;45
"E02000866";"M";16;33
"E02000866";"F";16;38
"E02000866";"M";17;38
"E02000866";"F";17;26
"E02000866";"M";18;39
"E02000866";"F";18;45
"E02000866";"M";19;69
"E02000866";"F";19;60
"E02000866";"M";20;91
"E02000866";"F";20;112
"E02000866";"M";21;91
"E02000866";"F";21;125
"E02000866";"M";22;89
"E02000866";"F";22;137
"E02000866";"M";23;124
"E02000866";"F";23;129
"E02000866";"M";24;103
"E02000866";"F";24;166
"E02000866";"M";25;129
"E02000866";"F";25;168
"E02000866";"M";26;116
"E02000866";"F";26;156
"E02000866";"M";27;149
"E02000866";"F";27;157
"E02000866";"M";28;127
"E02000866";"F";28;172
"E02000866";"M";29;141
"E02000866";"F";29;157
"E02000866";"M";30;142
"E02000866";"F";30;127
"E02000866";"M";31;125
"E02000866";"F";31;125
"E02000866";"M";32;113
"E02000866";"F";32;95
"E02000866";"M";33;108
"E02000866";"F";33;87
"E02000866";"M";34;110
"E02000866";"F";34;90
"E02000866";"M";35;102
"E02000866";"F";35;72
"E02000866";"M";36;83
"E02000866";"F";36;74
"E02000866";"M";37;71
"E02000866";"F";37;64
"E02000866";"M";38;67
"E02000866";"F";38;68
"E02000866";"M";39;75
"E02000866";"F";39;63
"E02000866";"M";40;65
"E02000866";"F";40;63
"E02000866";"M";41;82
"E02000866";"F";41;61
"E02000866";"M";42;64
"E02000866";"F";42;54
"E02000866";"M";43;59
"E02000866";"F";43;54
"E02000866";"M";44;52
"E02000866";"F";44;51
"E02000866";"M";45;49
"E02000866";"F";45;53
"E02000866";"M";46;67
"E02000866";"F";46;56
"E02000866";"M";47;58
"E02000866";"F";47;59
"E02000866";"M";48;43
"E02000866";"F";48;43
"E02000866";"M";49;59
"E02000866";"F";49;46
"E02000866";"M";50;52
"E02000866";"F";50;42
"E02000866";"M";51;49
"E02000866";"F";51;52
"E02000866";"M";52;39
"E02000866";"F";52;46
"E02000866";"M";53;36
"E02000866";"F";53;50
"E02000866";"M";54;54
"E02000866";"F";54;33
"E02000866";"M";55;46
"E02000866";"F";55;36
"E02000866";"M";56;38
"E02000866";"F";56;39
"E02000866";"M";57;44
"E02000866";"F";57;41
"E02000866";"M";58;58
"E02000866";"F";58;42
"E02000866";"M";59;28
"E02000866";"F";59;30
"E02000866";"M";60;38
"E02000866";"F";60;23
"E02000866";"M";61;23
"E02000866";"F";61;39
"E02000866";"M";62;23
"E02000866";"F";62;32
"E02000866";"M";63;35
"E02000866";"F";63;42
"E02000866";"M";64;32
"E02000866";"F";64;37
"E02000866";"M";65;22
"E02000866";"F";65;33
"E02000866";"M";66;17
"E02000866";"F";66;26
"E02000866";"M";67;25
"E02000866";"F";67;29
"E02000866";"M";68;27
"E02000866";"F";68;25
"E02000866";"M";69;21
"E02000866";"F";69;17
"E02000866";"M";70;16
"E02000866";"F";70;28
"E02000866";"M";71;19
"E02000866";"F";71;17
"E02000866";"M";72;13
"E02000866";"F";72;18
"E02000866";"M";73;23
"E02000866";"F";73;15
"E02000866";"M";74;15
"E02000866";"F";74;20
"E02000866";"M";75;3
"E02000866";"F";75;25
"E02000866";"M";76;18
"E02000866";"F";76;14
"E02000866";"M";77;15
"E02000866";"F";77;19
"E02000866";"M";78;18
"E02000866";"F";78;15
"E02000866";"M";79;13
"E02000866";"F";79;15
"E02000866";"M";80;13
"E02000866";"F";80;15
"E02000866";"M";81;15
"E02000866";"F";81;19
"E02000866";"M";82;7
"E02000866";"F";82;12
"E02000866";"M";83;7
"E02000866";"F";83;11
"E02000866";"M";84;5
"E02000866";"F";84;7
"E02000866";"M";85;31
"E02000866";"F";85;54
"E02000867";"M";0;81
"E02000867";"F";0;67
"E02000867";"M";1;70
"E02000867";"F";1;66
"E02000867";"M";2;69
"E02000867";"F";2;57
"E02000867";"M";3;71
"E02000867";"F";3;43
"E02000867";"M";4;52
"E02000867";"F";4;62
"E02000867";"M";5;41
"E02000867";"F";5;48
"E02000867";"M";6;54
"E02000867";"F";6;48
"E02000867";"M";7;56
"E02000867";"F";7;45
"E02000867";"M";8;35
"E02000867";"F";8;57
"E02000867";"M";9;43
"E02000867";"F";9;44
"E02000867";"M";10;48
"E02000867";"F";10;45
"E02000867";"M";11;36
"E02000867";"F";11;43
"E02000867";"M";12;46
"E02000867";"F";12;42
"E02000867";"M";13;40
"E02000867";"F";13;48
"E02000867";"M";14;33
"E02000867";"F";14;44
"E02000867";"M";15;51
"E02000867";"F";15;31
"E02000867";"M";16;30
"E02000867";"F";16;37
"E02000867";"M";17;33
"E02000867";"F";17;36
"E02000867";"M";18;36
"E02000867";"F";18;28
"E02000867";"M";19;64
"E02000867";"F";19;62
"E02000867";"M";20;99
